Fecha de Inicio,Fecha de Fin,Año,Clasificación del fenómeno,Tipo de fenómeno,Estado,Municipios Afectados,Descripcion general de los daños,Defunciones,Población afectada ,Viviendas dañadas,Escuelas,Hospitales ,Area de cultivo dañada / pastizales (h),Total de daños (millones de pesos),Fuente
1-1-00,31-12-00,2000,QUIM,IF,Guerrero,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 9, 565 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$9.57,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Jalisco,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 8, 567 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$8.57,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Chihuahua,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 7, 614 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$7.61,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Durango,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 6, 601 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$6.60,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Morelos,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 4, 475 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$4.44,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Baja California,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 6, 577 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$3.58,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Quintana Roo,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asiganaron 3, 311 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$3.31,CONAFOR
1-1-00,31-12-00,2000,QUIM,IF,Zacatecas,Varios Municipios,"En Mexico, estos fenomenos se presentan en la temporada de Sequia en los meses de Marzo-Junio, con frecuencia se presentan en zonas proximas a caminos, carreteras, pastoreo, lugares de recreo o de aprovechamiento maderable, en este estado se le asignaron 3, 019 miles de pesos, por daños en este rubro.",0,0,0,0,0," 29,354.88 ",$3.02,CONAFOR
4-1-00,4-1-00,2000,HIDRO,LLUV,Chiapas,Varios Municipios,Reportado como otros .,0,0,0,0,0, -   ,$38.15,CENAPRED
1-5-00,31-3-01,2000,HIDRO,SEQ,Chihuahua,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigno a este estado una cantidad de 120, 000 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$120.00,SAGARPA-CENAPRED
1-5-00,31-3-01,2000,HIDRO,SEQ,San Luis Potosí,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 16, 289 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$16.29,SAGARPA-CENAPRED
1-5-00,30-6-01,2000,HIDRO,SEQ,Querétaro,Amealco de Bonfil y Toliman,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 14,193 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$14.19,SAGARPA-CENAPRED
15-5-00,15-5-00,2000,HIDRO,SEQ,Sonora,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 56, 080 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$56.08,SAGARPA-CENAPRED
15-5-00,15-5-00,2000,HIDRO,SEQ,Durango,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 45, 000 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$45.00,SAGARPA-CENAPRED
31-5-00,31-5-00,2000,HIDRO,INUND,México,"Valle de Chalco Solidaridad, Chalco, Ixtapaluca","El Bordo izquierdo del Rio de la Conmpañia se erosiono, provocando que rompiera aguas abajo del cruce con la autopista Mexico-Puebla e inundando 80ha de las colonias vecinas, afectando a 2,000 personas y provocando la muerte de 5, en total se destinaron 1, 086 miles de pesos, para la resurcion de los daños.",5,"2,005",0,0,0, -   ,$179.93,CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Guanajuato,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 73, 994 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$73.99,SAGARPA-CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Coahuila,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 62, 000 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$62.00,SAGARPA-CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Sinaloa,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 53, 441 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$53.44,SAGARPA-CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Nuevo León,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 51 825 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$51.83,SAGARPA-CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Zacatecas,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 42, 278 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$42.27,SAGARPA-CENAPRED
1-6-00,1-6-00,2000,HIDRO,SEQ,Aguascalientes,Varios Municipios,"Las sequias se forman con lentitud, afectan mas vidas, que es dificil estimar cuanta gente es afectada pues afecta generalmente a regiones muy grandes, ademas las cosechas se pierden, los precios de los alimentos se disparan, el ganado muere de hambre, los mantos freaticos desaparecen y los incendios estallan, por eso se le asigo a este estado una cantidad de 25, 112 miles de pesos, para solventar los daños, por este fenomeno.",0,0,0,0,0, -   ,$25.11,SAGARPA-CENAPRED
18-6-00,18-6-00,2000,HIDRO,CT,Coahuila,Varios Municipios,Reportado como otros .,0,0,0,0,0, -   ,$55.99,CENAPRED
18-6-00,24-6-10,2000,HIDRO,CT,Chiapas,Varios Municipios,Afectaciones por el ciclón tropical Carlota.,0,0,0,0,0, -   ,$55.51,CENAPRED
15-8-00,17-8-00,2000,HIDRO,CT,Tamaulipas,"Carbonera, Pesca, Carrizo","Con vientos maximos de 75 Km/h el Huracan Beryl, provoco daños a la infraestructura de la region y severos daños a los servicios. Afortunadamente no se presento ninguna calamidad.",0,0,0,0,0, -   ,$0.25,CENAPRED
16-9-00,17-9-00,2000,HIDRO,CT,Baja California Sur,"Los Cabos, La Paz","La Tormenta Tropical Miriam, afecto Severamente las costas de este Estado, por lo que se le destino un total de 7, 038 miles de pesos, para mitigar los daños causados por este fenomeno.",0,0,0,0,0, -   ,$7.24,CENAPRED
20-9-00,20-9-00,2000,HIDRO,CT,Michoacán,Varios Municipios,La depresion y tormenta Tropical Norman.,0,0,0,0,0, -   ,$60.87,CENAPRED
20-9-00,20-9-00,2000,HIDRO,CT,Nayarit,Varios Municipios,La depresion y tormenta Tropical Norman.,0,0,0,0,0, -   ,$47.78,CENAPRED
20-9-00,22-9-00,2000,HIDRO,CT,Colima,Varios Municipios,"La depresion y tormenta Tropical Norman, causo los daños en viviendas, caminos y servicios, que afectaron los vientos de 55 Km/h y rachas de 75 Km/h.",0,0,0,0,0, -   ,$16.20,CENAPRED
24-9-00,24-9-00,2000,HIDRO,CT,Coahuila,Varios Municipios,Reportado como otros .,0,0,0,0,0, -   ,$47.54,CENAPRED
24-9-00,24-9-00,2000,HIDRO,CT,Durango,Varios Municipios,Reportado como otros.,0,0,0,0,0, -   ,$7.73,CENAPRED
30-9-00,2-10-00,2000,HIDRO,CT,Chiapas,Varios Municipios,"El Huracan Keith se acerco peligrosamente a los costas de Quintana Roo, que por la intensidad de sus vientos acompañados con lluvias llego a categoria 3 estos tambien afectaron la parte norte de Chiapas. ",0,0,0,0,0, -   ,$25.56,CENAPRED
30-9-00,30-9-00,2000,HIDRO,CT,Quintana Roo,Varios Municipios,"El Huracan Keith se acerco peligrosamente a los costas de Quintana Roo, que por la intensidad de sus vientos acompañados con lluvias llego a categoria 3 estos tambien afectaron la parte norte de Chiapas. ",0,0,0,0,0, -   ,$42.48,CENAPRED
1-10-00,1-10-00,2000,HIDRO,CT,Guerrero,Varios Municipios,Reportado como otros.,0,0,0,0,0, -   ,$10.30,CENAPRED
3-10-00,5-10-00,2000,HIDRO,CT,"Tamaulipas, Veracruz","Gomez Farias, Ocampo, Xicotencatl, El Mante, Llera, Victoria, Tampico, Gonzalez","El Huracan Keith, perdio fuerza en lo que se internaba a estos estados, por lo que la maxima de vientos fue de 90Km por hora, que ocasiono daños moderados a estos estados, sin consecuencias humanas, el total de fondos pedidos al FONDEN fue de 117,167 miles de pesos.",0,0,0,0,0, -   ,$117.85,CENAPRED
Acumulado anual,,2000,HIDRO,CT,Varios Estados,Varios Municipios,Suministros y equipamiento de diversas dependencias,0,0,0,0,0, -   ,$530.30,CENAPRED
6-10-00,7-10-00,2000,HIDRO,CT,Nuevo León,"Allende, Anahuac, Apodaca, Gral. Escobedo, Gral. Teran, Guadalupe, Linares, Monterrey, Sabinas Hidalgo, San Pedro Garza Garcia, Santa. Catarina, Santiago","Las remanencias del Huracan Keith, junto con la entrada del Frente Frio No. 4 causaron que se dieran graves lluvias, las cuales provocaron severas inundaciones, deslaves, desbordamiento en presas e interrupcion en los servicios. Afortunadamente no se registraron Perdidas Humanas, un total de 130 personas fueron rescatadas y mas de 5 mil personas fueron evacuadas. En total los daños ascienden a 115.6 millones de pesos.",0,"5,130",460,0,0, -   ,$115.60,CENAPRED
21-10-00,22-10-00,2000,HIDRO,LLUV,Sonora,"Alconchi, Alamos, Altar,  Arizpe, Atil, Bacoachi, Banamichi, Baviacora, Benjamin Hill, Caborca, Carbo, Cucurpe, Guaymas, Hermosillo, Huepac, Huatabampo, Magdalena, Nogales, Apodepe, Pitiquito, Rayon, San Felipe de Jesus, San Miguel de orcasitas, Santa Ana, Santa Cruz, Trincheras, Tubutama, Ures",El Frente frio no. 6 ocasiono lluvias en promedio de 20 a 40 mm afectando a varios sectores de la poblacion,0,"2,320",464,0,0," 1,250.00 ",$64.44,CENAPRED
6-11-00,8-11-00,2000,HIDRO,CT,Oaxaca,Puerto Angel,"La tormenta Tropiccal Rosa, con vientos de 50 Km/h al acercarse a la costa, se disipo a 15 Km de ella, esto garantizo para que no hubiera mas daño a la region, pues se le destino 254.2 miles de pesos para la recontruccion.",0,0,0,0,0, -   ,$0.14,CENAPRED
1-12-00,31-12-00,2000,HIDRO,BT,Puebla,Varios Municipios,"Tras la presencia intensa de temperaturas bajas todo el mes de diciembre se decidio destinar 9, 829 miles de pesos para resarcir los daños provocados, por las Bajas Temperaturas.",0,0,0,0,0, -   ,$9.83,CENACOM
